# Hershey stroke text trail
# font_name=timesi, font_size=14
# char_spacing=1.0, word_spacing=3.0, line_spacing=15.0
37.5000 74.0000 -33
38.5000 75.0000 -33
39.5000 76.5000 -33
40.0000 78.5000 -33
40.0000 80.5000 -33
39.5000 80.5000 -33
40.0000 79.5000 -33
40.0000 79.5000 33
41.5000 76.0000 33
41.5000 76.0000 -33
43.5000 76.5000 -33
45.0000 77.0000 -33
46.5000 78.0000 -33
47.0000 79.0000 -33
46.5000 80.0000 -33
45.5000 80.5000 -33
44.0000 80.5000 -33
42.5000 80.0000 -33
41.5000 78.5000 -33
41.0000 77.0000 -33
41.0000 75.5000 -33
41.5000 74.5000 -33
42.0000 74.0000 -33
43.0000 73.5000 -33
44.0000 73.5000 -33
45.5000 74.0000 -33
46.5000 75.0000 -33
46.5000 75.0000 33
44.0000 80.5000 33
44.0000 80.5000 -33
43.0000 80.0000 -33
42.0000 78.5000 -33
41.5000 77.0000 -33
41.5000 75.0000 -33
42.0000 74.0000 -33
42.0000 74.0000 33
51.0000 78.5000 33
51.0000 78.5000 -33
51.5000 79.5000 -33
52.5000 80.5000 -33
54.0000 80.5000 -33
54.5000 80.0000 -33
54.5000 78.5000 -33
53.5000 75.5000 -33
53.5000 74.5000 -33
54.5000 73.5000 -33
54.5000 73.5000 33
53.5000 80.5000 33
53.5000 80.5000 -33
54.0000 80.0000 -33
54.0000 78.5000 -33
53.0000 75.5000 -33
53.0000 74.5000 -33
53.5000 74.0000 -33
54.5000 73.5000 -33
55.5000 73.5000 -33
56.5000 74.0000 -33
57.5000 75.0000 -33
58.5000 77.0000 -33
58.5000 77.0000 33
60.0000 80.5000 33
60.0000 80.5000 -33
58.0000 73.5000 -33
57.5000 72.0000 -33
56.5000 70.5000 -33
55.0000 70.0000 -33
53.5000 70.0000 -33
52.5000 70.5000 -33
52.0000 71.0000 -33
52.0000 71.5000 -33
52.5000 72.0000 -33
53.0000 71.5000 -33
52.5000 71.0000 -33
52.5000 71.0000 33
59.5000 80.5000 33
59.5000 80.5000 -33
57.5000 73.5000 -33
57.0000 72.0000 -33
56.0000 70.5000 -33
55.0000 70.0000 -33
55.0000 70.0000 33
64.0000 80.5000 33
64.0000 80.5000 -33
62.5000 80.0000 -33
61.5000 78.5000 -33
61.0000 77.0000 -33
61.0000 75.5000 -33
61.5000 74.5000 -33
62.0000 74.0000 -33
63.0000 73.5000 -33
64.0000 73.5000 -33
65.5000 74.0000 -33
66.5000 75.5000 -33
67.0000 77.0000 -33
67.0000 78.5000 -33
66.5000 79.5000 -33
66.0000 80.0000 -33
65.0000 80.5000 -33
64.0000 80.5000 -33
